Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-09-03,168.668172781808,168.668172781808,155.35226440429688,155.35226440429688,2684000,0.0,0
2002-09-04,150.91366577148438,155.35230300005745,150.91366577148438,150.91366577148438,1231000,0.0,0
2002-09-05,155.35227920069838,159.79091574928978,146.47500610351562,146.47500610351562,2637000,0.0,0
2002-09-06,150.91366577148438,150.91366577148438,150.91366577148438,150.91366577148438,1020000,0.0,0
2002-09-09,150.91366577148438,150.91366577148438,150.91366577148438,150.91366577148438,137500,0.0,0
2002-09-10,150.9136505126953,150.9136505126953,142.036376953125,142.036376953125,7557000,0.0,0
2002-09-11,146.47500610351562,146.47500610351562,146.47500610351562,146.47500610351562,897500,0.0,0
2002-09-12,150.91366577148438,159.79094022863052,150.91366577148438,150.91366577148438,6785000,0.0,0
2002-09-13,150.91366577148438,155.35230300005745,150.91366577148438,150.91366577148438,440000,0.0,0
2002-09-16,146.47500610351562,146.47500610351562,146.47500610351562,146.47500610351562,1625000,0.0,0
2002-09-17,146.47499215262275,155.35226440429688,146.47499215262275,155.35226440429688,537500,0.0,0
2002-09-18,150.91366577148438,150.91366577148438,150.91366577148438,150.91366577148438,2777000,0.0,0
2002-09-19,150.913642652107,155.35227920069838,142.03636955492425,146.47500610351562,11841500,0.0,0
2002-09-20,142.036376953125,146.47501373291016,142.036376953125,142.036376953125,8150000,0.0,0
2002-09-23,146.47500610351562,146.47500610351562,146.47500610351562,146.47500610351562,2144500,0.0,0
2002-09-24,146.47500610351562,146.47500610351562,146.47500610351562,146.47500610351562,1543000,0.0,0
2002-09-25,146.47499215262275,155.35226440429688,146.47499215262275,155.35226440429688,13485500,0.0,0
2002-09-26,155.35227920069838,155.35227920069838,146.47500610351562,146.47500610351562,8891500,0.0,0
2002-09-27,150.91366577148438,155.35230300005745,150.91366577148438,150.91366577148438,3205500,0.0,0
2002-09-30,150.9136282784598,155.35226440429688,150.9136282784598,155.35226440429688,10361500,0.0,0
2002-10-01,150.9136282784598,155.35226440429688,150.9136282784598,155.35226440429688,2263500,0.0,0
2002-10-02,159.79091033935546,177.5454559326172,159.79091033935546,177.5454559326172,57863000,0.0,0
2002-10-03,173.10682715439214,186.42273693549922,173.10682715439214,181.98410034179688,24923000,0.0,0
2002-10-04,181.98410034179688,181.98410034179688,181.98410034179688,181.98410034179688,0,0.0,0
2002-10-07,173.10681875128495,173.10681875128495,164.22954599480877,168.66818237304688,3923500,0.0,0
2002-10-08,164.22954599480877,168.66818237304685,159.7909096165707,168.66818237304688,7250000,0.0,0
2002-10-09,173.10681152343753,186.42272010216348,164.2295391376202,173.1068115234375,22710500,0.0,0
2002-10-10,168.66818979624156,168.66818979624156,159.79091664907097,164.22955322265625,17399500,0.0,0
2002-10-11,168.66816541883682,168.66816541883682,159.79089355468753,159.7908935546875,7022500,0.0,0
2002-10-14,142.03636853448276,142.03636853448276,124.28182246767243,128.720458984375,18896000,0.0,0
2002-10-15,133.1590864393446,133.1590864393446,110.96590536612051,119.84317779541016,96813000,0.0,0
2002-10-16,119.84318595096984,133.1590955010776,119.84318595096984,128.720458984375,52560500,0.0,0
2002-10-17,128.720458984375,133.1590955010776,128.720458984375,128.720458984375,4990500,0.0,0
2002-10-18,137.59774017333984,142.036376953125,133.1591033935547,142.036376953125,33833000,0.0,0
2002-10-21,142.036376953125,150.9136505126953,142.036376953125,142.036376953125,31723000,0.0,0
2002-10-22,142.03636853448276,142.03636853448276,128.720458984375,128.720458984375,30974500,0.0,0
2002-10-23,128.72047375094505,137.59774780273438,128.72047375094505,137.59774780273438,8700000,0.0,0
2002-10-24,133.15908813476562,133.15908813476562,128.72045186360677,133.15908813476562,4281500,0.0,0
2002-10-25,133.1590955010776,133.1590955010776,128.720458984375,128.720458984375,4138500,0.0,0
2002-10-28,133.1591107768397,137.59774780273438,133.1591107768397,137.59774780273438,5521500,0.0,0
2002-10-29,137.59774017333984,142.036376953125,137.59774017333984,142.036376953125,18146500,0.0,0
2002-10-30,142.03636955492425,146.47500610351562,142.03636955492425,146.47500610351562,7790500,0.0,0
2002-10-31,146.4750285429113,150.91366577148438,146.4750285429113,150.91366577148438,31794000,0.0,0
2002-11-01,150.913642652107,150.913642652107,146.47500610351562,146.47500610351562,12673000,0.0,0
2002-11-04,150.9136282784598,155.35226440429688,150.9136282784598,155.35226440429688,21963000,0.0,0
2002-11-05,155.35230300005745,164.2295774572036,150.91366577148438,150.91366577148438,30174500,0.0,0
2002-11-06,150.91366577148438,150.91366577148438,146.4750285429113,150.91366577148438,29329500,0.0,0
2002-11-07,150.913642652107,150.913642652107,146.47500610351562,146.47500610351562,177500,0.0,0
2002-11-08,146.47500610351562,146.47500610351562,146.47500610351562,146.47500610351562,7202000,0.0,0
2002-11-11,146.47500610351562,146.47500610351562,146.47500610351562,146.47500610351562,3784000,0.0,0
2002-11-12,146.4750285429113,150.91366577148438,146.4750285429113,150.91366577148438,5353000,0.0,0
2002-11-13,146.47500610351562,146.47500610351562,146.47500610351562,146.47500610351562,3128500,0.0,0
2002-11-14,146.47500610351562,146.47500610351562,146.47500610351562,146.47500610351562,1663000,0.0,0
2002-11-15,150.91366577148438,150.91366577148438,150.91366577148438,150.91366577148438,17941000,0.0,0
2002-11-18,150.913642652107,150.913642652107,146.47500610351562,146.47500610351562,3486500,0.0,0
2002-11-19,146.4750285429113,150.91366577148438,146.4750285429113,150.91366577148438,14156500,0.0,0
2002-11-20,150.91366577148438,150.91366577148438,146.4750285429113,150.91366577148438,4045500,0.0,0
2002-11-21,150.9136282784598,155.35226440429688,150.9136282784598,155.35226440429688,5140000,0.0,0
2002-11-22,155.35225762261285,159.79089355468753,155.35225762261285,159.7908935546875,14292000,0.0,0
2002-11-25,155.35226440429688,155.35226440429688,150.9136282784598,155.35226440429688,8055500,0.0,0
2002-11-26,155.35230300005745,155.35230300005745,150.91366577148438,150.91366577148438,304500,0.0,0
2002-11-27,155.35227920069838,155.35227920069838,146.47500610351562,146.47500610351562,9580500,0.0,0
2002-11-28,155.35225762261285,159.79089355468753,155.35225762261285,159.7908935546875,31949500,0.0,0
2002-11-29,155.35230300005745,155.35230300005745,146.4750285429113,150.91366577148438,15385500,0.0,0
2002-12-02,150.91366577148438,150.91366577148438,150.91366577148438,150.91366577148438,0,0.0,0
2002-12-03,146.4750285429113,150.91366577148438,146.4750285429113,150.91366577148438,7520000,0.0,0
2002-12-04,146.47501373291016,146.47501373291016,142.036376953125,142.036376953125,3066000,0.0,0
2002-12-05,142.036376953125,142.036376953125,142.036376953125,142.036376953125,0,0.0,0
2002-12-06,142.036376953125,142.036376953125,142.036376953125,142.036376953125,0,0.0,0
2002-12-09,142.036376953125,142.036376953125,142.036376953125,142.036376953125,0,0.0,0
2002-12-10,142.036376953125,142.036376953125,142.036376953125,142.036376953125,0,0.0,0
2002-12-11,142.03636853448276,142.03636853448276,128.720458984375,128.720458984375,30413500,0.0,0
2002-12-12,133.1591107768397,137.59774780273438,133.1591107768397,137.59774780273438,14942000,0.0,0
2002-12-13,133.15908813476562,133.15908813476562,128.72045186360677,133.15908813476562,5005000,0.0,0
2002-12-16,133.1591107768397,142.03638482862902,133.1591107768397,137.59774780273438,15357500,0.0,0
2002-12-17,142.0363498263889,159.79089355468753,142.0363498263889,159.7908935546875,101403000,0.0,0
2002-12-18,155.35226440429688,159.7909005301339,155.35226440429688,155.35226440429688,31008500,0.0,0
2002-12-19,155.35225762261285,159.79089355468753,155.35225762261285,159.7908935546875,32288500,0.0,0
2002-12-20,159.79091664907097,164.22955322265625,155.35228007548565,164.22955322265625,24805500,0.0,0
2002-12-23,164.2295391376202,173.10681152343753,159.79090294471155,173.1068115234375,67068500,0.0,0
2002-12-24,173.10681152343753,173.10681152343753,173.10681152343753,173.1068115234375,0,0.0,0
2002-12-25,173.10681152343753,173.10681152343753,173.10681152343753,173.1068115234375,0,0.0,0
2002-12-26,173.10681152343753,173.10681152343753,173.10681152343753,173.1068115234375,0,0.0,0
2002-12-27,173.10680135091147,173.10680135091147,159.79089355468753,159.7908935546875,22223500,0.0,0
2002-12-30,159.79089355468753,159.79089355468753,159.79089355468753,159.7908935546875,0,0.0,0
